primitive,c_entry,offset,arity,kernel,effect_policy,pure_go_contract,verification_vector,completion_action
file.rename,do_filerename,0,2,io,external-io,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
file.append,do_fileappend,0,2,io,external-io,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
file.symlink,do_filesymlink,0,2,io,external-io,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
file.link,do_filelink,0,2,io,external-io,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
file.copy,do_filecopy,0,6,io,external-io,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
list.files,do_listfiles,0,9,io,external-io,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
list.dirs,do_listdirs,0,3,io,external-io,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
file.exists,do_fileexists,0,1,io,external-io,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
file.choose,do_filechoose,0,1,io,external-io,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
file.info,do_fileinfo,0,2,io,external-io,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
file.access,do_fileaccess,0,2,io,external-io,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
dir.exists,do_direxists,0,1,io,external-io,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
dir.create,do_dircreate,0,4,io,external-io,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
tempfile,do_tempfile,0,3,io,external-io,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
tempdir,do_tempdir,0,1,io,external-io,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
R.home,do_Rhome,0,0,system,external-system,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
date,do_date,0,0,system,external-system,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
Sys.getenv,do_getenv,0,2,environment,environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
Sys.setenv,do_setenv,0,2,environment,environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
Sys.unsetenv,do_unsetenv,0,1,environment,environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
getwd,do_getwd,0,0,environment,environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
setwd,do_setwd,0,1,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
basename,do_basename,0,1,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
dirname,do_dirname,0,1,io,external-io,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
Sys.chmod,do_syschmod,0,3,system,external-system,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
Sys.umask,do_sysumask,0,1,system,external-system,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
Sys.readlink,do_readlink,0,1,io,external-io,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
Sys.info,do_sysinfo,0,0,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
Sys.sleep,do_syssleep,0,1,system,external-system,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
Sys.getlocale,do_getlocale,0,1,environment,environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
Sys.setlocale,do_setlocale,0,2,system,external-system,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
Sys.localeconv,do_localeconv,0,0,system,external-system,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
path.expand,do_pathexpand,0,1,system,external-system,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
Sys.getpid,do_sysgetpid,0,0,environment,environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
normalizePath,do_normalizepath,0,3,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
Sys.glob,do_glob,0,2,system,external-system,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
unlink,do_unlink,0,4,system,external-system,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
polyroot,do_polyroot,0,1,numeric-complex,pure,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
inherits,do_inherits,0,3,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
UseMethod,do_usemethod,0,-1,language,control-or-environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
NextMethod,do_nextmethod,0,-1,language,control-or-environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
standardGeneric,do_standardGeneric,0,-1,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
Sys.time,do_systime,0,0,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
as.POSIXct,do_asPOSIXct,0,2,datetime,pure,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
as.POSIXlt,do_asPOSIXlt,0,2,datetime,pure,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
format.POSIXlt,do_formatPOSIXlt,0,4,datetime,pure,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
strptime,do_strptime,0,3,character,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
Date2POSIXlt,do_D2POSIXlt,0,2,datetime,pure,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
POSIXlt2Date,do_POSIXlt2D,0,1,datetime,pure,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
balancePOSIXlt,do_balancePOSIXlt,0,3,datetime,pure,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
unCfillPOSIXlt,do_balancePOSIXlt,1,1,datetime,pure,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
compareNumericVersion,do_compareNumericVersion,0,2,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
mkCode,do_mkcode,0,2,language,control-or-environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
bcClose,do_bcclose,0,3,language,control-or-environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
is.builtin.internal,do_is_builtin_internal,0,1,language,control-or-environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
disassemble,do_disassemble,0,1,language,control-or-environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
bcVersion,do_bcversion,0,0,language,control-or-environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
load.from.file,do_loadfile,0,1,io,external-io,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
save.to.file,do_savefile,0,4,io,external-io,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
growconst,do_growconst,0,1,language,control-or-environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
putconst,do_putconst,0,3,language,control-or-environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
getconst,do_getconst,0,2,environment,environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
enableJIT,do_enablejit,0,1,language,control-or-environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
compilePKGS,do_compilepkgs,0,1,language,control-or-environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
setNumMathThreads,do_setnumthreads,0,1,io,external-io,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
setMaxNumMathThreads,do_setmaxnumthreads,0,1,io,external-io,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
stdin,do_stdin,0,0,io,external-io,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
stdout,do_stdout,0,0,io,external-io,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
stderr,do_stderr,0,0,io,external-io,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
isatty,do_isatty,0,1,io,external-io,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
readLines,do_readLines,0,6,io,external-io,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
writeLines,do_writelines,0,4,io,external-io,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
readBin,do_readbin,0,6,io,external-io,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
writeBin,do_writebin,0,5,io,external-io,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
readChar,do_readchar,0,3,io,external-io,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
writeChar,do_writechar,0,5,io,external-io,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
open,do_open,0,3,io,external-io,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
isOpen,do_isopen,0,2,io,external-io,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
isIncomplete,do_isincomplete,0,1,io,external-io,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
isSeekable,do_isseekable,0,1,io,external-io,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
close,do_close,0,2,io,external-io,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
flush,do_flush,0,1,io,external-io,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
file,do_url,1,6,io,external-io,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
url,do_url,0,6,io,external-io,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
pipe,do_pipe,0,3,io,external-io,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
fifo,do_fifo,0,4,io,external-io,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
gzfile,do_gzfile,0,4,io,external-io,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
bzfile,do_gzfile,1,4,io,external-io,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
xzfile,do_gzfile,2,4,io,external-io,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
zstdfile,do_gzfile,3,4,io,external-io,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
unz,do_unz,0,3,io,external-io,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
seek,do_seek,0,4,io,external-io,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
truncate,do_truncate,0,1,io,external-io,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
pushBack,do_pushback,0,4,io,external-io,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
clearPushBack,do_clearpushback,0,1,io,external-io,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
pushBackLength,do_pushbacklength,0,1,io,external-io,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
rawConnection,do_rawconnection,0,3,io,external-io,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
rawConnectionValue,do_rawconvalue,0,1,io,external-io,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
textConnection,do_textconnection,0,5,io,external-io,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
textConnectionValue,do_textconvalue,0,1,io,external-io,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
socketConnection,do_sockconn,0,8,io,external-io,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
socketAccept,do_sockconn,1,6,io,external-io,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
sockSelect,do_sockselect,0,3,io,external-io,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
serverSocket,do_serversocket,0,1,io,external-io,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
socketTimeout,do_socktimeout,0,2,io,external-io,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
getConnection,do_getconnection,0,1,environment,environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
getAllConnections,do_getallconnections,0,0,environment,environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
summary.connection,do_sumconnection,0,1,io,external-io,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
gzcon,do_gzcon,0,4,io,external-io,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
memCompress,do_memCompress,0,2,io,external-io,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
memDecompress,do_memDecompress,0,2,io,external-io,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
readDCF,do_readDCF,0,3,io,external-io,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
lockEnvironment,do_lockEnv,0,2,environment,environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
environmentIsLocked,do_envIsLocked,0,1,environment,environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
lockBinding,do_lockBnd,0,2,environment,environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
unlockBinding,do_lockBnd,1,2,environment,environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
bindingIsLocked,do_bndIsLocked,0,2,environment,environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
makeActiveBinding,do_mkActiveBnd,0,3,environment,environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
bindingIsActive,do_bndIsActive,0,2,environment,environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
activeBindingFunction,do_activeBndFun,0,2,environment,environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
getBindingType,do_bindingType,0,2,environment,environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
delayedBindingExpression,do_delayedBindingExpr,0,2,environment,environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
delayedBindingEnvironment,do_delayedBindingEnv,0,2,environment,environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
forcedBindingExpression,do_forcedBindingExpr,0,2,environment,environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
dotsExist,do_dotsExist,0,2,environment,environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
getDotType,do_dotType,0,3,environment,environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
dotDelayedExpression,do_dotDelayedExpr,0,3,environment,environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
dotDelayedEnvironment,do_dotDelayedEnv,0,3,environment,environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
dotForcedExpression,do_dotForcedExpr,0,3,environment,environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
dotsLength,do_CDotsLength,0,2,environment,environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
dotsNames,do_CDotsNames,0,2,attribute,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
dotsElt,do_CDotsElt,0,3,environment,environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
mkUnbound,do_mkUnbound,0,1,environment,environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
isNamespaceEnv,do_isNSEnv,0,1,environment,environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
registerNamespace,do_regNS,0,2,environment,environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
unregisterNamespace,do_unregNS,0,1,environment,environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
getRegisteredNamespace,do_getRegNS,0,1,environment,environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
isRegisteredNamespace,do_getRegNS,1,1,environment,environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
getNamespaceRegistry,do_getNSRegistry,0,0,environment,environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
importIntoEnv,do_importIntoEnv,0,4,environment,environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
env.profile,do_envprofile,0,1,environment,environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
Encoding,do_encoding,0,1,character,pure,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
setEncoding,do_setencoding,0,2,character,pure,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
setTimeLimit,do_setTimeLimit,0,3,system,external-system,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
setSessionTimeLimit,do_setSessionTimeLimit,0,2,system,external-system,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
icuSetCollate,do_ICUset,0,-1,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
icuGetCollate,do_ICUget,0,1,environment,environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
readRenviron,do_readEnviron,0,1,environment,environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
shortRowNames,do_shortRowNames,0,2,attribute,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
copyDFattr,do_copyDFattr,0,2,attribute,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
getRegisteredRoutines,do_getRegisteredRoutines,0,1,environment,environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
getLoadedDLLs,do_getDllTable,0,0,environment,environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
getSymbolInfo,do_getSymbolInfo,0,3,environment,environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
.isMethodsDispatchOn,do_S4on,0,-1,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
lazyLoadDBfetch,do_lazyLoadDBfetch,0,4,serialization,external-io,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
lazyLoadDBflush,do_lazyLoadDBflush,0,1,serialization,external-io,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
getVarsFromFrame,do_getVarsFromFrame,0,3,environment,environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
lazyLoadDBinsertValue,do_lazyLoadDBinsertValue,0,5,serialization,external-io,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
bincode,do_bincode,0,4,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
tabulate,do_tabulate,0,2,runtime,pure,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
findInterval,do_findinterval,0,6,runtime,pure,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
pretty,do_pretty,0,8,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
formatC,do_formatC,0,7,runtime,pure,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
crc64,do_crc64,0,1,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
bitwiseAnd,do_bitwise,1,2,bitwise,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
bitwiseNot,do_bitwise,2,1,bitwise,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
bitwiseOr,do_bitwise,3,2,bitwise,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
bitwiseXor,do_bitwise,4,2,bitwise,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
bitwiseShiftL,do_bitwise,5,2,bitwise,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
bitwiseShiftR,do_bitwise,6,2,bitwise,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
serialize,do_serialize,0,5,serialization,external-io,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
serializeb,do_serialize,1,5,serialization,external-io,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
unserialize,do_serialize,2,2,serialization,external-io,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
rowsum_matrix,do_rowsum,0,5,reduction,pure,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
rowsum_df,do_rowsum,1,5,reduction,pure,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
objsxp,do_objsxp,0,0,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
setS4Object,do_setS4Object,0,3,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
traceOnOff,do_traceOnOff,0,1,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
debugOnOff,do_traceOnOff,1,1,runtime,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
La_qr_cmplx,do_lapack,0,1,matrix,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
La_rs,do_lapack,1,2,matrix,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
La_rs_cmplx,do_lapack,2,2,matrix,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
La_rg,do_lapack,3,2,matrix,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
La_rg_cmplx,do_lapack,41,2,matrix,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
La_rs,do_lapack,5,2,matrix,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
La_rs_cmplx,do_lapack,51,2,matrix,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
La_dlange,do_lapack,6,2,matrix,pure,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
La_dgecon,do_lapack,7,2,matrix,pure,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
La_dtrcon,do_lapack,8,2,matrix,pure,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
La_dtrcon3,do_lapack,81,3,matrix,pure,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
La_zlange,do_lapack,61,2,matrix,pure,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
La_zgecon,do_lapack,9,2,matrix,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
La_ztrcon,do_lapack,10,2,matrix,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
La_ztrcon3,do_lapack,13,3,matrix,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
La_solve_cmplx,do_lapack,11,3,matrix,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
La_solve,do_lapack,100,3,matrix,pure,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
La_qr,do_lapack,101,1,matrix,pure,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
La_chol,do_lapack,200,3,matrix,pure,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
La_chol2inv,do_lapack,201,2,matrix,pure,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
qr_coef_real,do_lapack,300,2,matrix,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
qr_qy_real,do_lapack,301,3,matrix,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
det_ge_real,do_lapack,302,2,matrix,pure,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
qr_coef_cmplx,do_lapack,303,2,matrix,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
qr_qy_cmplx,do_lapack,304,3,matrix,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
La_svd,do_lapack,400,5,matrix,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
La_svd_cmplx,do_lapack,401,5,matrix,pure,pure-go-dispatch,typed-signature,derive typed fixture by kernel/opcode/arity vector
La_version,do_lapack,1000,0,matrix,pure,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
La_library,do_lapack,1001,0,matrix,pure,pure-go-family-kernel,typed-signature,derive typed fixture by C entry and offset
bcprofcounts,do_bcprofcounts,0,0,language,control-or-environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
bcprofstart,do_bcprofstart,0,0,language,control-or-environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
bcprofstop,do_bcprofstop,0,0,language,control-or-environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
eSoftVersion,do_eSoftVersion,0,0,system,external-system,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
curlVersion,do_curlVersion,0,0,io,external-io,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
curlGetHeaders,do_curlGetHeaders,0,5,environment,environment,pure-go-context-adapter,environment-control,verify with isolated environment/control matrix
curlDownload,do_curlDownload,0,6,io,external-io,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
compilerVersion,do_compilerVersion,0,0,system,external-system,pure-go-effect-adapter,sandboxed-effect,verify with temporary filesystem/connection matrix
